species,Longitude,Latitude
Platycodon gradiflorus,103.388085,23.36561
Platycodon gradiflorus,104.337169,23.605727
Platycodon gradiflorus,118.768458,31.923308
Platycodon gradiflorus,101.876667,29.595
Platycodon gradiflorus,120.625442,36.165025
Platycodon gradiflorus,116.297443,40.129223
Platycodon gradiflorus,116.474819,40.466639
Platycodon gradiflorus,116.407395,39.904211
Platycodon gradiflorus,115.98167,29.54722
Platycodon gradiflorus,100.10444,25.89444
Platycodon gradiflorus,116.1,39.93
Platycodon gradiflorus,109.93,33.87
Platycodon gradiflorus,116.93,31.47
Platycodon gradiflorus,106.7,26.53
Platycodon gradiflorus,106.97,30.83
Platycodon gradiflorus,107.1,31.57
Platycodon gradiflorus,105.23,32.58
Platycodon gradiflorus,117.62,24.13
Platycodon gradiflorus,111.18,30.47
Platycodon gradiflorus,126.2,48.52
Platycodon gradiflorus,115.72,39.4
Platycodon gradiflorus,118.51,31.7
Platycodon gradiflorus,108.03,32.07
Platycodon gradiflorus,107.75,34.28
Platycodon gradiflorus,106.25,32.83
Platycodon gradiflorus,105.38,26.78
Platycodon gradiflorus,108.42,27.05
Platycodon gradiflorus,108.68,26.97
Platycodon gradiflorus,118.32,40.15
Platycodon gradiflorus,115.8,40
Platycodon gradiflorus,108.67,31.95
Platycodon gradiflorus,125.02,46.6
Platycodon gradiflorus,125.9,47.18
Platycodon gradiflorus,126.1,46.68
Platycodon gradiflorus,99.98,31.62
Platycodon gradiflorus,119.17,31.95
Platycodon gradiflorus,119.72,30.23
Platycodon gradiflorus,120.27,31.9
Platycodon gradiflorus,126.9,41.8
Platycodon gradiflorus,120.33,40.32
Platycodon gradiflorus,103.48,29.6
Platycodon gradiflorus,119.65,45.53
Platycodon gradiflorus,125.33,46.4
Platycodon gradiflorus,122.28,41.16
Platycodon gradiflorus,114.38,37.67
Platycodon gradiflorus,113.8,35.47
Platycodon gradiflorus,119.45,32.13
Platycodon gradiflorus,119.8,40.82
Platycodon gradiflorus,120.92,44.55
Platycodon gradiflorus,129.75,43.32
Platycodon gradiflorus,123.2,45.85
Platycodon gradiflorus,128.23,43.37
Platycodon gradiflorus,129.47,44.35
Platycodon gradiflorus,117.6,44.58
Platycodon gradiflorus,122.58,39.27
Platycodon gradiflorus,102.12,26.88
Platycodon gradiflorus,115.98,29.68
Platycodon gradiflorus,107.1,29.16
Platycodon gradiflorus,108.07,26.38
Platycodon gradiflorus,112.38,24.78
Platycodon gradiflorus,102.77,27.07
Platycodon gradiflorus,111.58,25.53
Platycodon gradiflorus,119.18,32.27
Platycodon gradiflorus,131.33,46.58
Platycodon gradiflorus,120.25,33.78
Platycodon gradiflorus,118.48,33
Platycodon gradiflorus,123.18,47.33
Platycodon gradiflorus,118.58,24.82
Platycodon gradiflorus,117.53,25.02
Platycodon gradiflorus,124.03,42.55
Platycodon gradiflorus,112.25,36.15
Platycodon gradiflorus,123.72,50.58
Platycodon gradiflorus,114.18,38.85
Platycodon gradiflorus,118.95,40.4
Platycodon gradiflorus,113.07,28.25
Platycodon gradiflorus,114.36,34.8
Platycodon gradiflorus,122.98,39.7
Platycodon gradiflorus,108.9,32.32
Platycodon gradiflorus,119.48,39.83
Platycodon gradiflorus,106.57,29.52
Platycodon gradiflorus,117.52,40.43
Platycodon gradiflorus,118.53,27.92
Platycodon gradiflorus,109.63,31.37
Platycodon gradiflorus,105.38,29.15
Platycodon gradiflorus,110.29,25.28
Platycodon gradiflorus,115.83,40.92
Platycodon gradiflorus,113.25,38.73
Platycodon gradiflorus,102.23,29.92
Platycodon gradiflorus,121.92,46.07
Platycodon gradiflorus,111.48,33.28
Platycodon gradiflorus,124.47,47.82
Platycodon gradiflorus,112.15,37.55
Platycodon gradiflorus,116.13,39.75
Platycodon gradiflorus,112.67,38.07
Platycodon gradiflorus,115.22,40.38
Platycodon gradiflorus,121.6,37.38
Platycodon gradiflorus,118.17,40.77
Platycodon gradiflorus,118.15,24.73
Platycodon gradiflorus,104.43,30.85
Platycodon gradiflorus,107.23,31.92
Platycodon gradiflorus,110.63,26.73
Platycodon gradiflorus,105.17,31.63
Platycodon gradiflorus,111.25,31.88
Platycodon gradiflorus,121.52,50.78
Platycodon gradiflorus,110.15,35.23
Platycodon gradiflorus,101.12,30.98
Platycodon gradiflorus,107.8,26.2
Platycodon gradiflorus,130.37,42.87
Platycodon gradiflorus,119.57,32
Platycodon gradiflorus,110.75,31.35
Platycodon gradiflorus,108.45,26.73
Platycodon gradiflorus,104.9,25.08
Platycodon gradiflorus,112.45,23.03
Platycodon gradiflorus,104.92,33.4
Platycodon gradiflorus,107.62,35.07
Platycodon gradiflorus,132.98,45.77
Platycodon gradiflorus,107.33,33.15
Platycodon gradiflorus,109.2,26.92
Platycodon gradiflorus,109.13,26.23
Platycodon gradiflorus,104.25,23.37
Platycodon gradiflorus,108.52,25.93
Platycodon gradiflorus,87.6,43.8
Platycodon gradiflorus,111.27,24.83
Platycodon gradiflorus,108.9,25.75
Platycodon gradiflorus,109.2,26.68
Platycodon gradiflorus,125.35,41.27
Platycodon gradiflorus,131.13,45.25
Platycodon gradiflorus,129.55,46.32
Platycodon gradiflorus,123.4,42.5
Platycodon gradiflorus,121.75,42.07
Platycodon gradiflorus,124.72,42.73
Platycodon gradiflorus,126.18,41.12
Platycodon gradiflorus,126.65,51.73
Platycodon gradiflorus,129,42.53
Platycodon gradiflorus,110.83,24.83
Platycodon gradiflorus,108.8,23.22
Platycodon gradiflorus,107.17,25
Platycodon gradiflorus,113.27,24.78
Platycodon gradiflorus,107.53,25.83
Platycodon gradiflorus,102.69,25.02
Platycodon gradiflorus,115.1,29.27
Platycodon gradiflorus,118.48,31.55
Platycodon gradiflorus,115.67,30.75
Platycodon gradiflorus,116.35,30.85
Platycodon gradiflorus,119.13,28.08
Platycodon gradiflorus,120.95,28.13
Platycodon gradiflorus,123.5,47.92
Platycodon gradiflorus,116.63,40.32
Platycodon gradiflorus,109.78,26.17
Platycodon gradiflorus,124.12,41.3
Platycodon gradiflorus,124.15,39.87
Platycodon gradiflorus,125.3,47.88
Platycodon gradiflorus,126.52,48.23
Platycodon gradiflorus,112.58,35.07
Platycodon gradiflorus,130.72,47.02
Platycodon gradiflorus,128.9,43.12
Platycodon gradiflorus,111.85,33.05
Platycodon gradiflorus,113.4,32.37
Platycodon gradiflorus,113.8,35.2
Platycodon gradiflorus,124.45,46.87
Platycodon gradiflorus,110.35,22.72
Platycodon gradiflorus,120.75,31.65
Platycodon gradiflorus,104.95,25.78
Platycodon gradiflorus,130.83,47.58
Platycodon gradiflorus,91.14,29.65
Platycodon gradiflorus,114.85,34.07
Platycodon gradiflorus,112.1,34.15
Platycodon gradiflorus,118.18,29.78
Platycodon gradiflorus,101.97,30.05
Platycodon gradiflorus,107.97,26.58
Platycodon gradiflorus,123.98,44.28
Platycodon gradiflorus,108.93,30.3
Platycodon gradiflorus,117.02,30.1
Platycodon gradiflorus,125.03,41.73
Platycodon gradiflorus,119.03,29.6
Platycodon gradiflorus,113.32,32.72
Platycodon gradiflorus,113.43,35.23
Platycodon gradiflorus,111.62,33.78
Platycodon gradiflorus,119.33,41.6
Platycodon gradiflorus,111.07,25.93
Platycodon gradiflorus,117.72,41.32
Platycodon gradiflorus,126.28,46.27
Platycodon gradiflorus,114.57,29.03
